nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
Britain,Ground_vehicles,2025-01-24,10.3 ~ 11.3,10.3,6163.0,1028.5694385851048,0.6353590134674673,0.0750235275028395,0.0724144085672562,0.127901813064861,0.3323439135137142,0.5403597601121365,0.3312121441687315
USA,Ground_vehicles,2025-02-08,6.0 ~ 7.0,6.0,43994.0,1884.685437083412,0.7088405123425922,0.0053025412556257,0.0052125289812247,0.1672304473532253,0.5350035149610675,0.6774802577419301,0.4983721607618757
Britain,Ground_vehicles,2025-01-03,12.0 ~ 13.0,12.0,2036.0,1018.0,0.5365940078585463,0.0,0.0,0.1376719952517007,0.3606182455665808,0.7324419563667424,0.2483694324698503
China,Ground_vehicles,2025-03-28,7.3 ~ 8.3,7.3,2687.0,210.7102716784518,0.5888295496836621,0.3673055452177149,0.3292705619650167,0.1105438526800695,0.2631749648562366,0.5883175327883375,0.2500890188657151
China,Ground_vehicles,2025-02-14,6.3 ~ 7.3,6.3,1391.0,176.47721063982746,0.6064725377426312,0.0076347951114306,0.0101797268152408,0.1177941610622737,0.2608875996923176,0.5774815135645377,0.2717990197076473
Britain,Ground_vehicles,2025-01-06,4.3 ~ 5.3,4.3,3530.0,237.2498087818697,0.6230252691218131,0.1638101983002832,0.2402379603399433,0.1591705418595217,0.3586250740351894,0.5030947489769371,0.3484549996539726
Sweden,Ground_vehicles,2025-03-16,10.3 ~ 11.3,10.3,11289.0,1228.0802063956064,0.6004105500930109,0.1130339268314288,0.125583311187882,0.107342998947455,0.295355923868966,0.6096173847347597,0.2702545100403816
Germany,Ground_vehicles,2025-03-25,5.3 ~ 6.3,5.3,11084.0,465.8690667371243,0.5338407975460122,0.2045209310718152,0.2104195236376759,0.1786369139440269,0.4432734867465452,0.5266562136476362,0.3004230533193337
USSR,Ground_vehicles,2025-03-10,3.0 ~ 4.0,3.0,7145.0,427.7768611724175,0.6855750454863541,0.1555031490552834,0.1437046885934219,0.1753438781724335,0.5698241570170068,0.7272831638734878,0.492105512635858
China,Ground_vehicles,2025-02-05,8.0 ~ 9.0,8.0,9462.0,479.5490602761925,0.631868949482139,0.1495466074825618,0.1473272035510463,0.105479718933241,0.2969164430275278,0.625307968200389,0.3009916178198443
Israel,Ground_vehicles,2025-02-11,9.0 ~ 10.0,9.0,6049.0,1095.1365633044422,0.5734701272937676,0.0671813522896346,0.0741577120185154,0.1515504376479126,0.4561459816833766,0.5613784148034551,0.3262993306678418
France,Ground_vehicles,2025-02-02,7.0 ~ 8.0,7.0,13538.0,1167.6491357659918,0.6746618185847244,0.0,0.0,0.1633232841863538,0.4522461612238746,0.7207349525926626,0.4340330975403863
Italy,Ground_vehicles,2025-02-08,12.0 ~ 13.0,12.0,4260.0,2130.0,0.7186778403755869,0.0,0.0,0.1684907208609159,0.54095602423072,0.7881362846519241,0.5110310165377867
China,Ground_vehicles,2025-02-02,10.7 ~ 11.7,10.7,5545.0,901.6515419296665,0.6103671596032461,0.1702073940486925,0.2346474301172227,0.1365292478234971,0.3338643716560669,0.6008690779024946,0.3124724744151654
USSR,Ground_vehicles,2025-03-25,5.0 ~ 6.0,5.0,6849.0,429.63869908015766,0.5977023361074609,0.0466170243831216,0.0349627682873412,0.1860791952759314,0.5477282027324616,0.5943145745533234,0.404024571671141
USSR,Ground_vehicles,2025-02-08,5.0 ~ 6.0,5.0,10665.0,641.1723956868261,0.571715724331927,0.04755743084857,0.04755743084857,0.1605827738507985,0.4166772126954187,0.5943145745533234,0.3174173635441332
Britain,Ground_vehicles,2025-01-03,4.0 ~ 5.0,4.0,1838.0,192.90467899891183,0.646036779107726,0.1372361262241567,0.1657834602829162,0.1579354387699633,0.3725426279104167,0.5127683941762274,0.3752784764226903
Israel,Ground_vehicles,2025-03-04,9.7 ~ 10.7,9.7,3914.0,997.7152103559872,0.5992803525804803,0.0420873786407767,0.0447087378640776,0.1620348932867223,0.4791880156194972,0.5930604568039446,0.3667652007107299
China,Ground_vehicles,2025-03-28,3.0 ~ 4.0,3.0,420.0,74.2063492063492,0.6231430952380953,0.0,0.0,0.1591278368604534,0.5676204278704011,0.6132667278737566,0.4181398370680008
France,Ground_vehicles,2025-02-17,11.0 ~ 12.0,11.0,23727.0,3389.5714285714284,0.7307012896699964,0.1452800606903527,0.1820976103173599,0.1064620729724978,0.3429108533396527,0.7726099141028043,0.4157943444317842
France,Ground_vehicles,2025-01-24,9.3 ~ 10.3,9.3,16326.0,1633.9995099840746,0.6169951243415412,0.0788950140879578,0.1392962146269753,0.0988705575359493,0.2688549922245078,0.6186469905836712,0.2723716280712446
Italy,Ground_vehicles,2025-02-05,8.3 ~ 9.3,8.3,9570.0,1345.7881574364333,0.596760762800418,0.0102988505747126,0.0099310344827586,0.1342598478756374,0.3622671212071628,0.5787648628291475,0.3068127728475777
